date,account_id,payee,amount_eur,currency,category,tags,note,external_id,source
2025-08-24,Giro_DE1234,ALDI,-0.00,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-08-25,Giro_DE1234,LIDL,-6.63,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-08-25,Giro_DE1234,kaffee,-2.00,EUR,Lebensmittel,supermarkt,"Espresso",,csv
2025-08-25,Giro_DE1234,Kiosk,-1.80,EUR,Lebensmittel,supermarkt,"Fanta",,csv
2025-08-26,Giro_DE1234,LIDL,-11.69,EUR,Lebensmittel,Supermarkt,"Sneck ",,csv
2025-08-26,Giro_DE1234,LIDL,-24.59,EUR,Lebensmittel,Supermarkt ,"Fehlende Produkte",,csv
2025-08-26,Giro_DE1234,Philipps,-17.62,EUR,Lebensmittel,supermarkt,"Frischhaltedosen",,csv
2025-08-27,Giro_DE1234,kaffee,-1.70,EUR,Lebensmittel,kaffeteria,"Espresso",,csv
2025-08-27,Giro_DE1234,LIDL,-12.00,EUR,Lebensmittel,Supermarkt ,"Getränke ",,csv
2025-08-28,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,kaffeteria,"Espresso",,csv
2025-08-29,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-08-29,Giro_DE1234,LIDL,-33.67,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-08-30,Giro_DE1234,LIDL,-10.30,EUR,Lebensmittel,supermarkt,"was mir gefehlt ist ",,csv
2025-09-01,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-01,Giro_DE1234,LIDL,-11.37,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-02,Giro_DE1234,LIDL,-8.03,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-02,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-03,Bar,Aral,-3.99,EUR,Lebensmittel,Aral,"kaugummi",,csv
2025-09-03,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-03,Giro_DE1234,LIDL,-10.41,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-04,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-05,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-05,Bar,kaffee,-2.80,EUR,Lebensmittel,Kaffeteria,"Käsebrötschen",,csv
2025-09-05,Giro_DE1234,LIDL,-19.68,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-06,Giro_DE1234,LIDL,-33.44,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-09-06,Giro_DE1234,Türkischemarket,-34.78,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-08,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-08,Giro_DE1234,LIDL,-11.85,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-09,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-09,Giro_DE1234,LIDL,-10.44,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-10,Giro_DE1234,Rewe,-10.44,EUR,Haushalt,supermarkt,"Hygiene Produkte",,csv
2025-09-11,Giro_DE1234,kaffee,-1.80,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-11,Giro_DE1234,LIDL,-12.30,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-11,Giro_DE1234,Rewe,-4.00,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-12,Giro_DE1234,kaffee,-3.60,EUR,Lebensmittel,Kaffeteria,"Espresso",,csv
2025-09-12,Giro_DE1234,LIDL,-3.99,EUR,Lebensmittel,supermarkt,"Fehlende Produkte",,csv
2025-09-13,Giro_DE1234,LIDL,-43.44,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
2025-09-13,Giro_DE1234,UCAR,-40.15,EUR,Lebensmittel,supermarkt,"Wocheneinkauf",,csv
